Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nurse practitioners,Yukon,Area of practice,Education,2,0,0,0,0,0,0,0,0,
Nurse practitioners,Yukon,Area of practice,Research,0,0,0,0,0,0,0,0,0,
Nurse practitioners,Yukon,Area of practice,Not stated,0,0,0,1,0,0,0,0,1,
Nurse practitioners,Yukon,Geography,Urban,5,4,5,8,10,13,13,15,15,
Nurse practitioners,Yukon,Geography,Rural/remote,0,0,0,0,0,1,3,2,3,
Nurse practitioners,Yukon,Geography,Not stated,0,0,1,0,0,0,6,3,0,
Nurse practitioners,Northwest Territories/Nunavut,Workforce,Total,45,38,55,50,45,53,61,,87,
Nurse practitioners,Northwest Territories/Nunavut,Inflow,Total,12,6,21,x,6,17,18,,,
Nurse practitioners,Northwest Territories/Nunavut,Inflow,Canadian educated,11,6,20,x,6,13,18,,,
Nurse practitioners,Northwest Territories/Nunavut,Inflow,Internationally educated,x,0,x,0,0,x,0,,,
Nurse practitioners,Northwest Territories/Nunavut,Inflow,Grad location not stated,x,0,x,0,0,x,0,,,
Nurse practitioners,Northwest Territories/Nunavut,Outflow,Total,13,x,8,11,9,10,,,,
Nurse practitioners,Northwest Territories/Nunavut,Renewal,Total,33,32,34,47,39,36,43,,,
Nurse practitioners,Northwest Territories/Nunavut,Full-time/part-time status,Full time,42,29,43,36,32,18,26,,30,
Nurse practitioners,Northwest Territories/Nunavut,Full-time/part-time status,Part time,0,0,0,0,0,6,5,,8,
Nurse practitioners,Northwest Territories/Nunavut,Full-time/part-time status,Casual,x,9,12,14,13,29,30,,49,
Nurse practitioners,Northwest Territories/Nunavut,Full-time/part-time status,Not stated,x,0,0,0,0,0,0,,0,
Nurse practitioners,Northwest Territories/Nunavut,Place of work,Hospital,8,x,x,5,8,x,x,,,
Nurse practitioners,Northwest Territories/Nunavut,Place of work,Community health,30,18,36,31,26,32,31,,,
Nurse practitioners,Northwest Territories/Nunavut,Place of work,Nursing home/long-term care,0,0,0,0,0,0,0,,,
Nurse practitioners,Northwest Territories/Nunavut,Place of work,Other place of work,7,15,15,14,10,12,16,,,
Nurse practitioners,Northwest Territories/Nunavut,Place of work,Not stated,0,x,x,0,x,x,x,,,
Nurse practitioners,Northwest Territories/Nunavut,Position,Staff nurse,0,x,5,5,5,x,x,,,
Nurse practitioners,Northwest Territories/Nunavut,Position,Manager,0,x,7,8,5,5,5,,,
Nurse practitioners,Northwest Territories/Nunavut,Position,Other position,45,30,41,37,35,41,44,,,
Nurse practitioners,Northwest Territories/Nunavut,Position,Not stated,0,0,x,0,0,x,x,,,
Nurse practitioners,Northwest Territories/Nunavut,Area of practice,Direct care,39,32,46,44,38,40,45,,,
Nurse practitioners,Northwest Territories/Nunavut,Area of practice,Administration,x,x,5,x,x,5,x,,,
Nurse practitioners,Northwest Territories/Nunavut,Area of practice,Education,x,x,x,x,x,x,x,,,
Nurse practitioners,Northwest Territories/Nunavut,Area of practice,Research,0,x,0,0,0,0,0,,,
Nurse practitioners,Northwest Territories/Nunavut,Area of practice,Not stated,0,0,x,0,x,x,10,,,
Nurse practitioners,Northwest Territories/Nunavut,Geography,Urban,24,21,25,22,,19,,,,
Nurse practitioners,Northwest Territories/Nunavut,Geography,Rural/remote,21,16,25,23,,20,,,,
Nurse practitioners,Northwest Territories/Nunavut,Geography,Not stated,0,x,5,5,,14,,,,
Nurse practitioners,Jurisdictions with available data,Workforce,Total,"4,090","4,540","4,967","5,335","5,677","6,086","6,724","7,399","8,302","8,342"
Nurse practitioners,Jurisdictions with available data,Full-time/part-time status,Full time,"3,315","3,580","3,835","4,123","4,385","4,664","5,183","5,682","6,266","6,413"
Nurse practitioners,Jurisdictions with available data,Full-time/part-time status,Part time,612,737,914,957,"1,049","1,147","1,217","1,353","1,487","1,491"
Nurse practitioners,Jurisdictions with available data,Full-time/part-time status,Casual,154,160,218,252,242,275,319,345,460,351
Nurse practitioners,Jurisdictions with available data,Full-time/part-time status,Not stated,6,63,0,3,1,0,5,19,18,11
Nurse practitioners,Jurisdictions with available data,Place of work,Hospital,"1,577","1,710","1,868","1,943","2,058","2,152","2,329","2,146","2,195","2,017"
Nurse practitioners,Jurisdictions with available data,Place of work,Community health,"1,422","1,595","1,759","1,922","2,019","2,203","2,444","2,193","2,194","2,038"
Nurse practitioners,Jurisdictions with available data,Place of work,Nursing home/long-term care,117,141,168,201,202,208,240,199,219,195
Nurse practitioners,Jurisdictions with available data,Place of work,Other place of work,951,"1,069","1,150","1,254","1,382","1,489","1,653","1,657","1,872","1,928"
Nurse practitioners,Jurisdictions with available data,Place of work,Not stated,23,20,18,15,15,25,44,32,19,52
Nurse practitioners,Jurisdictions with available data,Position,Staff nurse,206,210,239,224,246,209,242,230,208,159
Nurse practitioners,Jurisdictions with available data,Position,Manager,53,54,66,67,74,71,73,93,125,118
Nurse practitioners,Jurisdictions with available data,Position,Other position,"3,810","4,250","4,644","5,025","5,343","5,752","6,367","7,049","7,869","7,573"
Nurse practitioners,Jurisdictions with available data,Position,Not stated,21,18,16,19,14,47,30,27,13,56
Nurse practitioners,Jurisdictions with available data,Area of practice,Direct care,"3,874","4,316","4,775","5,125","5,456","5,832","6,441","7,113","7,841","7,477"
Nurse practitioners,Jurisdictions with available data,Area of practice,Administration,39,57,59,56,59,75,79,84,122,106
Nurse practitioners,Jurisdictions with available data,Area of practice,Education,91,91,101,114,113,123,133,133,154,132
Nurse practitioners,Jurisdictions with available data,Area of practice,Research,7,9,3,1,1,1,2,3,6,3
Nurse practitioners,Jurisdictions with available data,Area of practice,Not stated,73,61,25,33,41,47,63,66,92,167
Nurse practitioners,Jurisdictions with available data,Geography,Urban,"3,379","3,744","4,136","4,476","4,756","5,167","5,747","6,359","6,891","6,863"
Nurse practitioners,Jurisdictions with available data,Geography,Rural/remote,708,790,820,854,870,893,900,"1,025","1,001",972
Nurse practitioners,Jurisdictions with available data,Geography,Not stated,3,5,11,5,6,26,16,15,9,126
Registered nurses,Newfoundland and Labrador,Workforce,Total,"5,936","5,901","5,855","5,737","5,674","5,725","5,834","5,829","5,932","6,208"
Registered nurses,Newfoundland and Labrador,Inflow,Total,455,,407,372,395,447,503,440,511,"1,043"
Registered nurses,Newfoundland and Labrador,Inflow,Canadian educated,447,,399,361,385,425,487,421,433,758
Registered nurses,Newfoundland and Labrador,Inflow,Internationally educated,8,,8,11,10,22,16,19,78,285
Registered nurses,Newfoundland and Labrador,Inflow,Grad location not stated,0,,0,0,0,0,0,0,0,0
Registered nurses,Newfoundland and Labrador,Outflow,Total,,453,490,458,396,394,445,408,767,
Registered nurses,Newfoundland and Labrador,Renewal,Total,"5,481",,"5,448","5,365","5,279","5,278","5,331","5,389","5,421","5,165"
Registered nurses,Newfoundland and Labrador,Full-time/part-time status,Full time,"4,199","4,206","4,151","4,054","4,049","4,165","4,247","4,226","4,284","4,877"
Registered nurses,Newfoundland and Labrador,Full-time/part-time status,Part time,764,752,729,714,689,660,645,622,602,399
Registered nurses,Newfoundland and Labrador,Full-time/part-time status,Casual,973,943,975,969,936,900,942,981,"1,037",880
Registered nurses,Newfoundland and Labrador,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,0,9,52
Registered nurses,Newfoundland and Labrador,Place of work,Hospital,"4,063","3,982","3,975","3,883","3,875","3,888","3,837","3,774","3,767","3,780"
Registered nurses,Newfoundland and Labrador,Place of work,Community health,792,822,799,798,792,823,889,939,933,"1,124"
Registered nurses,Newfoundland and Labrador,Place of work,Nursing home/long-term care,462,455,454,416,396,404,431,448,492,468
Registered nurses,Newfoundland and Labrador,Place of work,Other place of work,619,642,627,640,611,610,677,668,730,779
Registered nurses,Newfoundland and Labrador,Place of work,Not stated,0,0,0,0,0,0,0,0,10,57
Registered nurses,Newfoundland and Labrador,Position,Staff nurse,"4,674","4,619","4,634","4,568","4,507","4,534","4,591","4,603","4,623","4,722"
Registered nurses,Newfoundland and Labrador,Position,Manager,764,773,739,700,688,695,699,708,776,787
Registered nurses,Newfoundland and Labrador,Position,Other position,491,509,482,469,479,496,544,518,526,647
Registered nurses,Newfoundland and Labrador,Position,Not stated,7,0,0,0,0,0,0,0,7,52
Registered nurses,Newfoundland and Labrador,Area of practice,Direct care,"5,312","5,268","5,253","5,141","5,089","5,119","5,188","5,183","5,240","5,412"
Registered nurses,Newfoundland and Labrador,Area of practice,Administration,338,358,350,344,336,360,394,396,426,339
Registered nurses,Newfoundland and Labrador,Area of practice,Education,254,247,227,227,222,223,220,218,220,266
Registered nurses,Newfoundland and Labrador,Area of practice,Research,32,28,24,25,27,23,32,32,31,26
Registered nurses,Newfoundland and Labrador,Area of practice,Not stated,0,0,1,0,0,0,0,0,15,165
Registered nurses,Newfoundland and Labrador,Geography,Urban,"4,504","4,502","4,413","4,325","4,302","4,308","4,406","4,430","4,529","4,672"
Registered nurses,Newfoundland and Labrador,Geography,Rural/remote,"1,432","1,399","1,442","1,412","1,370","1,391","1,399","1,369","1,369","1,380"
Registered nurses,Newfoundland and Labrador,Geography,Not stated,0,0,0,0,2,26,29,30,34,156
Registered nurses,Prince Edward Island,Workforce,Total,"1,523","1,517","1,547","1,560","1,612","1,610",,,"1,869","1,803"
Registered nurses,Prince Edward Island,Inflow,Total,120,133,164,168,183,129,,,,225
Registered nurses,Prince Edward Island,Inflow,Canadian educated,114,117,146,142,173,121,,,,142
Registered nurses,Prince Edward Island,Inflow,Internationally educated,6,6,5,5,3,8,,,,69
Registered nurses,Prince Edward Island,Inflow,Grad location not stated,0,10,13,21,7,0,,,,14
Registered nurses,Prince Edward Island,Outflow,Total,139,134,155,131,131,,,,291,
Registered nurses,Prince Edward Island,Renewal,Total,"1,403","1,384","1,383","1,392","1,429","1,481",,,,"1,578"
Registered nurses,Prince Edward Island,Full-time/part-time status,Full time,778,801,815,832,852,863,,,954,
Registered nurses,Prince Edward Island,Full-time/part-time status,Part time,528,511,547,525,541,552,,,668,
Registered nurses,Prince Edward Island,Full-time/part-time status,Casual,217,205,185,203,219,195,,,225,
Registered nurses,Prince Edward Island,Full-time/part-time status,Not stated,0,0,0,0,0,0,,,22,
Registered nurses,Prince Edward Island,Place of work,Hospital,886,879,906,935,967,946,,,998,
Registered nurses,Prince Edward Island,Place of work,Community health,71,63,65,64,71,69,,,277,
Registered nurses,Prince Edward Island,Place of work,Nursing home/long-term care,209,215,202,196,204,193,,,207,
Registered nurses,Prince Edward Island,Place of work,Other place of work,357,360,374,365,370,402,,,365,
Registered nurses,Prince Edward Island,Place of work,Not stated,0,0,0,0,0,0,,,22,
Registered nurses,Prince Edward Island,Position,Staff nurse,"1,130","1,115","1,138","1,156","1,196","1,171",,,"1,354",
Registered nurses,Prince Edward Island,Position,Manager,128,120,116,112,110,107,,,128,
Registered nurses,Prince Edward Island,Position,Other position,265,282,293,292,306,332,,,355,
Registered nurses,Prince Edward Island,Position,Not stated,0,0,0,0,0,0,,,32,
Registered nurses,Prince Edward Island,Area of practice,Direct care,"1,336","1,318","1,348","1,357","1,404","1,398",,,"1,596",
Registered nurses,Prince Edward Island,Area of practice,Administration,111,124,131,141,149,149,,,177,
Registered nurses,Prince Edward Island,Area of practice,Education,74,72,66,59,54,58,,,59,
Registered nurses,Prince Edward Island,Area of practice,Research,2,3,2,3,5,5,,,4,
Registered nurses,Prince Edward Island,Area of practice,Not stated,0,0,0,0,0,0,,,33,
Registered nurses,Prince Edward Island,Geography,Urban,"1,034","1,036","1,054","1,061","1,100","1,096",,,"1,512","1,518"
Registered nurses,Prince Edward Island,Geography,Rural/remote,465,461,468,485,501,499,,,320,176
Registered nurses,Prince Edward Island,Geography,Not stated,24,20,25,14,11,15,,,37,109
Registered nurses,Nova Scotia,Workforce,Total,"9,153","9,111","9,073","8,997","9,061","9,310","9,543","9,727","9,939","10,801"
Registered nurses,Nova Scotia,Inflow,Total,824,858,853,895,986,"1,158","1,113","1,139","1,238","1,850"
Registered nurses,Nova Scotia,Inflow,Canadian educated,792,820,813,841,928,"1,058","1,007",987,"1,018","1,033"
Registered nurses,Nova Scotia,Inflow,Internationally educated,32,38,40,54,58,100,106,152,212,800
Registered nurses,Nova Scotia,Inflow,Grad location not stated,0,0,0,0,0,0,0,0,8,17
Registered nurses,Nova Scotia,Outflow,Total,900,891,971,922,909,880,955,"1,026",988,
Registered nurses,Nova Scotia,Renewal,Total,"8,329","8,253","8,220","8,102","8,075","8,152","8,430","8,588","8,701","8,951"
Registered nurses,Nova Scotia,Full-time/part-time status,Full time,"6,042","6,032","6,060","6,033","6,169","6,425","6,640","6,747","6,804","7,060"
Registered nurses,Nova Scotia,Full-time/part-time status,Part time,"2,041","1,943","1,928","1,863","1,766","1,719","1,710","1,731","2,034","1,823"
Registered nurses,Nova Scotia,Full-time/part-time status,Casual,"1,067","1,131","1,081","1,100","1,124","1,166","1,192","1,249","1,101","1,699"
Registered nurses,Nova Scotia,Full-time/part-time status,Not stated,3,5,4,1,2,0,1,0,0,219
Registered nurses,Nova Scotia,Place of work,Hospital,"6,080","6,146","6,161","6,112","6,181","6,401","6,505","6,457","7,293",
Registered nurses,Nova Scotia,Place of work,Community health,"1,067",982,966,915,951,978,"1,014","1,150","1,336",
Registered nurses,Nova Scotia,Place of work,Nursing home/long-term care,"1,059","1,040","1,022","1,004",960,955,980,970,895,
Registered nurses,Nova Scotia,Place of work,Other place of work,941,943,923,959,969,975,"1,043","1,147",196,
Registered nurses,Nova Scotia,Place of work,Not stated,6,0,1,7,0,1,1,3,219,
Registered nurses,Nova Scotia,Position,Staff nurse,"7,076","7,112","7,102","7,010","7,049","7,256","7,420","7,505","7,736",
Registered nurses,Nova Scotia,Position,Manager,860,808,792,780,781,785,789,791,800,
Registered nurses,Nova Scotia,Position,Other position,"1,210","1,191","1,178","1,202","1,231","1,268","1,333","1,428","1,401",
Registered nurses,Nova Scotia,Position,Not stated,7,0,1,5,0,1,1,3,2,
Registered nurses,Nova Scotia,Area of practice,Direct care,"8,228","8,206","8,205","8,129","8,198","8,441","8,672","8,820","9,050",
Registered nurses,Nova Scotia,Area of practice,Administration,451,434,391,384,409,417,410,411,407,
Registered nurses,Nova Scotia,Area of practice,Education,392,395,396,406,379,369,375,402,407,
Registered nurses,Nova Scotia,Area of practice,Research,78,76,81,73,75,82,85,91,55,
Registered nurses,Nova Scotia,Area of practice,Not stated,4,0,0,5,0,1,1,3,20,
Registered nurses,Nova Scotia,Geography,Urban,"6,963","6,966","6,976","6,912","6,949","7,191","7,354","7,502","8,287","8,734"
Registered nurses,Nova Scotia,Geography,Rural/remote,"2,134","2,080","2,059","2,052","2,066","2,067","2,125","2,174","1,613","1,508"
Registered nurses,Nova Scotia,Geography,Not stated,56,65,38,33,46,52,64,51,39,559
Registered nurses,New Brunswick,Workforce,Total,"7,855","7,716","7,759","7,713","7,749","7,695","7,535","7,422","7,490","7,511"
Registered nurses,New Brunswick,Inflow,Total,527,471,607,575,600,576,531,573,871,865
Registered nurses,New Brunswick,Inflow,Canadian educated,514,465,593,561,591,565,510,526,721,651
Registered nurses,New Brunswick,Inflow,Internationally educated,13,6,14,14,9,11,21,47,122,199
Registered nurses,New Brunswick,Inflow,Grad location not stated,0,0,0,0,0,0,0,0,28,15
Registered nurses,New Brunswick,Outflow,Total,610,564,621,564,630,691,686,803,844,
Registered nurses,New Brunswick,Renewal,Total,"7,328","7,245","7,152","7,138","7,149","7,119","7,004","6,849","6,619","6,646"
Registered nurses,New Brunswick,Full-time/part-time status,Full time,"4,897","4,854","4,824","4,837","4,897","4,976","4,914","4,856","5,054","5,234"
Registered nurses,New Brunswick,Full-time/part-time status,Part time,"2,004","1,940","1,958","1,908","1,878","1,840","1,764","1,703","1,437","1,837"
Registered nurses,New Brunswick,Full-time/part-time status,Casual,954,922,977,968,974,879,857,863,755,404
Registered nurses,New Brunswick,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,0,244,36
Registered nurses,New Brunswick,Place of work,Hospital,"5,295","5,207","5,262","5,203","5,201","5,121","4,997","4,763","4,694","4,711"
Registered nurses,New Brunswick,Place of work,Community health,990,973,949,934,943,977,977,"1,039","1,111","1,059"
Registered nurses,New Brunswick,Place of work,Nursing home/long-term care,825,825,817,842,855,827,787,776,748,684
Registered nurses,New Brunswick,Place of work,Other place of work,745,711,731,734,750,770,774,844,685,"1,053"
Registered nurses,New Brunswick,Place of work,Not stated,0,0,0,0,0,0,0,0,252,4
Registered nurses,New Brunswick,Position,Staff nurse,"6,347","6,143","6,283","6,204","6,190","6,035","5,852","5,667",,
Registered nurses,New Brunswick,Position,Manager,969,890,952,970,964,882,857,856,,
Registered nurses,New Brunswick,Position,Other position,539,683,524,539,595,778,826,899,,
Registered nurses,New Brunswick,Position,Not stated,0,0,0,0,0,0,0,0,,
Registered nurses,New Brunswick,Area of practice,Direct care,"6,935","6,858","6,881","6,844","6,925","6,912","6,794","6,687","5,998","7,058"
Registered nurses,New Brunswick,Area of practice,Administration,533,492,510,512,482,449,432,438,120,169
Registered nurses,New Brunswick,Area of practice,Education,354,337,332,319,308,298,278,270,73,106
Registered nurses,New Brunswick,Area of practice,Research,33,29,36,38,34,36,31,27,14,19
Registered nurses,New Brunswick,Area of practice,Not stated,0,0,0,0,0,0,0,0,"1,285",159
Registered nurses,New Brunswick,Geography,Urban,"6,272","6,157","6,202","6,160","6,176","6,160","6,048","5,942","5,984","5,570"
Registered nurses,New Brunswick,Geography,Rural/remote,"1,583","1,559","1,557","1,553","1,572","1,535","1,480","1,480","1,500","1,328"
Registered nurses,New Brunswick,Geography,Not stated,0,0,0,0,1,0,7,0,6,613
Registered nurses,Quebec,Workforce,Total,"68,435","68,164","68,498","69,526","70,217","70,539","73,062","73,818","75,735","77,262"
Registered nurses,Quebec,Inflow,Total,"4,831","4,560","5,004","5,332","5,214","5,070","6,911","5,564","6,236","6,173"
Registered nurses,Quebec,Inflow,Canadian educated,"4,345","4,167","4,620","4,650","4,580","4,269","5,869","4,635","5,293","4,834"
Registered nurses,Quebec,Inflow,Internationally educated,486,393,384,682,634,801,"1,042",929,943,"1,339"
Registered nurses,Quebec,Inflow,Grad location not stated,0,0,0,0,0,0,0,0,0,0
Registered nurses,Quebec,Outflow,Total,"4,831","4,670","4,304","4,523","4,748","4,388","4,808","4,319","4,646",
Registered nurses,Quebec,Renewal,Total,"63,604","63,604","63,494","64,194","65,003","65,469","66,151","68,254","69,499","71,089"
Registered nurses,Quebec,Full-time/part-time status,Full time,"40,911","40,336","39,684","40,301","41,724","43,561","46,897","50,340","52,632","54,402"
Registered nurses,Quebec,Full-time/part-time status,Part time,"22,089","22,452","23,160","23,679","23,947","22,579","21,596","18,719","17,422","17,301"
Registered nurses,Quebec,Full-time/part-time status,Casual,"5,402","5,357","5,641","5,532","4,545","4,399","4,569","4,759","5,637","5,559"
Registered nurses,Quebec,Full-time/part-time status,Not stated,33,19,13,14,1,0,0,0,44,0
Registered nurses,Quebec,Place of work,Hospital,"41,849","42,354","42,738","43,640","44,151","43,827","45,183",,,
Registered nurses,Quebec,Place of work,Community health,"8,820","8,786","8,793","9,072","9,105","9,352","9,247",,,
Registered nurses,Quebec,Place of work,Nursing home/long-term care,"8,581","8,560","8,516","8,484","8,608","8,669","8,270",,,
Registered nurses,Quebec,Place of work,Other place of work,"9,110","8,262","8,414","8,330","8,353","8,691","9,115",,,
Registered nurses,Quebec,Place of work,Not stated,75,202,37,0,0,0,"1,247",,,
Registered nurses,Quebec,Position,Staff nurse,"55,350","55,762","56,345","57,659","60,056","60,248","62,383","62,783","63,944","65,430"
Registered nurses,Quebec,Position,Manager,"3,367","3,155","3,058","3,022","5,394","5,564","5,881","6,049","6,452","6,537"
Registered nurses,Quebec,Position,Other position,"9,674","9,237","9,090","8,845","4,767","4,727","4,798","4,986","5,236","5,292"
Registered nurses,Quebec,Position,Not stated,44,10,5,0,0,0,0,0,103,3
Registered nurses,Quebec,Area of practice,Direct care,"59,746","59,919","60,439","61,591","61,585","61,812","64,079","64,631","66,019","66,598"
Registered nurses,Quebec,Area of practice,Administration,"4,702","4,428","4,293","4,284","5,394","5,564","5,881","6,049","6,475","6,537"
Registered nurses,Quebec,Area of practice,Education,"2,683","2,647","2,591","2,503","2,448","2,350","2,325","2,391","2,444","2,387"
Registered nurses,Quebec,Area of practice,Research,879,823,810,788,790,813,777,747,750,709
Registered nurses,Quebec,Area of practice,Not stated,425,347,365,360,0,0,0,0,47,"1,031"
Registered nurses,Quebec,Geography,Urban,"61,716","61,524","61,981","63,038","63,763","64,112","66,467","67,149","68,598","70,147"
Registered nurses,Quebec,Geography,Rural/remote,"6,644","6,639","6,517","6,488","6,454","6,427","6,595","6,667","6,851","7,024"
Registered nurses,Quebec,Geography,Not stated,75,1,0,0,0,0,0,2,286,91
Registered nurses,Ontario,Workforce,Total,"95,659","95,609","94,948","95,814","97,575","97,920","98,899","99,839","101,599","106,523"
Registered nurses,Ontario,Inflow,Total,"6,722","6,272","6,297","7,416","7,884","7,661","8,784","9,279","10,428","12,658"
Registered nurses,Ontario,Inflow,Canadian educated,"6,096","5,573","5,770","6,782","6,997","6,653","7,575","7,691","7,305","7,888"
Registered nurses,Ontario,Inflow,Internationally educated,542,630,506,630,885,"1,007","1,208","1,588","3,122","4,768"
Registered nurses,Ontario,Inflow,Grad location not stated,84,69,21,4,2,1,1,0,1,2
Registered nurses,Ontario,Outflow,Total,"6,322","6,958","6,550","6,123","7,316","7,805","8,339","8,668","7,734",
Registered nurses,Ontario,Renewal,Total,"88,937","89,337","88,651","88,398","89,691","90,259","90,115","90,560","91,171","93,865"
Registered nurses,Ontario,Full-time/part-time status,Full time,"63,674","63,594","63,155","64,073","65,870","66,505","68,397","70,526","71,775","75,007"
Registered nurses,Ontario,Full-time/part-time status,Part time,"25,169","25,156","25,109","25,404","25,375","25,203","24,324","22,526","21,636","22,560"
Registered nurses,Ontario,Full-time/part-time status,Casual,"6,816","6,859","6,681","6,337","6,329","6,212","6,178","6,787","8,188","8,956"
Registered nurses,Ontario,Full-time/part-time status,Not stated,0,0,3,0,1,0,0,0,0,0
Registered nurses,Ontario,Place of work,Hospital,"61,061","61,176","60,989","61,864","63,515","64,176","64,579","64,326","64,742","68,626"
Registered nurses,Ontario,Place of work,Community health,"16,191","16,070","15,877","15,815","15,588","15,390","15,934","16,943","16,988","16,513"
Registered nurses,Ontario,Place of work,Nursing home/long-term care,"7,871","7,861","7,743","7,604","7,797","7,826","7,736","7,374","7,718","8,419"
Registered nurses,Ontario,Place of work,Other place of work,"10,536","10,502","10,339","10,491","10,612","10,512","10,624","11,163","12,137","12,943"
Registered nurses,Ontario,Place of work,Not stated,0,0,0,40,63,16,26,33,14,22
Registered nurses,Ontario,Position,Staff nurse,"72,496","72,881","72,444","73,098","74,403","74,865","75,877","76,117","76,674","79,983"
Registered nurses,Ontario,Position,Manager,"5,473","5,420","5,464","5,373","5,478","5,455","5,446","5,630","5,705","5,795"
Registered nurses,Ontario,Position,Other position,"17,690","17,308","17,040","17,170","17,597","17,460","17,538","18,027","19,195","20,508"
Registered nurses,Ontario,Position,Not stated,0,0,0,173,97,140,38,65,25,237
Registered nurses,Ontario,Area of practice,Direct care,"86,757","86,666","86,246","86,636","88,380","88,752","89,915","90,692","92,238","96,715"
Registered nurses,Ontario,Area of practice,Administration,"6,670","6,607","6,459","6,684","6,774","6,759","6,802","6,848","6,942","7,180"
Registered nurses,Ontario,Area of practice,Education,"2,159","2,252","2,168","2,233","2,204","2,172","2,084","2,170","2,329","2,507"
Registered nurses,Ontario,Area of practice,Research,,,,,,,,,,
Registered nurses,Ontario,Area of practice,Not stated,73,84,75,261,217,237,98,129,90,121
Registered nurses,Ontario,Geography,Urban,"90,426","90,375","89,800","90,754","92,472","92,836","93,863","94,868","96,654","101,342"
Registered nurses,Ontario,Geography,Rural/remote,"5,227","5,201","5,126","5,057","5,088","5,066","5,014","4,949","4,922","5,157"
Registered nurses,Ontario,Geography,Not stated,6,33,22,3,15,18,22,22,23,24
Registered nurses,Manitoba,Workforce,Total,"12,165","12,203","12,282","11,670",,,,,,
Registered nurses,Manitoba,Inflow,Total,737,755,841,731,,,,,,
Registered nurses,Manitoba,Inflow,Canadian educated,638,654,750,641,,,,,,
Registered nurses,Manitoba,Inflow,Internationally educated,99,101,88,90,,,,,,
Registered nurses,Manitoba,Inflow,Grad location not stated,0,0,3,0,,,,,,
Registered nurses,Manitoba,Outflow,Total,717,762,"1,343",,,,,,,
Registered nurses,Manitoba,Renewal,Total,"11,428","11,448","11,441","10,939",,,,,,
Registered nurses,Manitoba,Full-time/part-time status,Full time,"5,590","5,554","5,583","5,244",,,,,,
Registered nurses,Manitoba,Full-time/part-time status,Part time,"5,514","5,621","5,675","5,356",,,,,,
Registered nurses,Manitoba,Full-time/part-time status,Casual,976,"1,028","1,024","1,016",,,,,,
Registered nurses,Manitoba,Full-time/part-time status,Not stated,85,0,0,54,,,,,,
Registered nurses,Manitoba,Place of work,Hospital,"7,434","7,520","7,456","7,206",,,,,,
Registered nurses,Manitoba,Place of work,Community health,"1,930","1,937","1,990","1,795",,,,,,
Registered nurses,Manitoba,Place of work,Nursing home/long-term care,"1,436","1,425","1,410","1,354",,,,,,
Registered nurses,Manitoba,Place of work,Other place of work,"1,291","1,264","1,354","1,282",,,,,,
Registered nurses,Manitoba,Place of work,Not stated,74,57,72,33,,,,,,
Registered nurses,Manitoba,Position,Staff nurse,"9,228","9,257","9,242","9,256",,,,,,
Registered nurses,Manitoba,Position,Manager,834,846,815,768,,,,,,
Registered nurses,Manitoba,Position,Other position,"2,003","1,968","2,161","1,611",,,,,,
Registered nurses,Manitoba,Position,Not stated,100,132,64,35,,,,,,
Registered nurses,Manitoba,Area of practice,Direct care,"9,760","9,826","10,733","10,173",,,,,,
Registered nurses,Manitoba,Area of practice,Administration,937,925,836,729,,,,,,
Registered nurses,Manitoba,Area of practice,Education,"1,027","1,012",568,600,,,,,,
Registered nurses,Manitoba,Area of practice,Research,400,396,94,91,,,,,,
Registered nurses,Manitoba,Area of practice,Not stated,41,44,51,77,,,,,,
Registered nurses,Manitoba,Geography,Urban,"9,653","9,686","9,764","9,310",,,,,,
Registered nurses,Manitoba,Geography,Rural/remote,"2,501","2,516","2,503","2,357",,,,,,
Registered nurses,Manitoba,Geography,Not stated,11,1,15,3,,,,,,
Registered nurses,Saskatchewan,Workforce,Total,"10,054","10,264","10,416","10,538","10,637","10,753","10,843","11,140","11,180","11,619"
Registered nurses,Saskatchewan,Inflow,Total,518,930,757,802,725,760,778,899,765,"1,102"
Registered nurses,Saskatchewan,Inflow,Canadian educated,460,786,704,717,688,707,726,850,666,814
Registered nurses,Saskatchewan,Inflow,Internationally educated,48,128,49,81,37,52,52,49,99,150
Registered nurses,Saskatchewan,Inflow,Grad location not stated,10,16,4,4,0,1,0,0,0,138
Registered nurses,Saskatchewan,Outflow,Total,720,605,680,626,644,688,602,725,663,
Registered nurses,Saskatchewan,Renewal,Total,"9,536","9,334","9,659","9,736","9,912","9,993","10,065","10,241","10,415","10,517"
Registered nurses,Saskatchewan,Full-time/part-time status,Full time,"5,921","6,035","6,110","6,143","6,250","6,225","6,433","6,553","6,323","6,649"
Registered nurses,Saskatchewan,Full-time/part-time status,Part time,"2,730","2,774","2,846","2,914","2,913","3,018","3,035","3,073","3,159","3,191"
Registered nurses,Saskatchewan,Full-time/part-time status,Casual,"1,403","1,455","1,460","1,481","1,474","1,510","1,375","1,514","1,698","1,779"
Registered nurses,Saskatchewan,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,0,0,0
Registered nurses,Saskatchewan,Place of work,Hospital,"5,953","6,038","6,214","6,304","6,512","6,542","6,683","6,841","7,011","7,233"
