Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Unnamed: 14,Unnamed: 15
Registered nurses,Newfoundland and Labrador,Inflow,Total,452,448,383,377,366,438,484,431,585,"1,107",,
Registered nurses,Newfoundland and Labrador,Inflow,Age <35,327,330,297,274,263,326,315,310,364,654,,
Registered nurses,Newfoundland and Labrador,Inflow,Age 35–54,104,93,68,85,76,73,99,95,180,386,,
Registered nurses,Newfoundland and Labrador,Inflow,Age 55+,21,25,18,18,27,39,70,26,41,67,,
Registered nurses,Newfoundland and Labrador,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Newfoundland and Labrador,Outflow,Total,415,437,477,464,374,375,448,410,894,,,
Registered nurses,Newfoundland and Labrador,Outflow,Age <35,125,151,151,181,113,161,162,165,489,,,
Registered nurses,Newfoundland and Labrador,Outflow,Age 35–54,98,111,117,115,101,84,92,91,253,,,
Registered nurses,Newfoundland and Labrador,Outflow,Age 55+,192,175,209,168,160,130,194,154,152,,,
Registered nurses,Newfoundland and Labrador,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,,,
Registered nurses,Newfoundland and Labrador,Renewal,Total,"5,556","5,819","5,586","5,492","5,405","5,397","5,460","5,496","5,517","5,208",,
Registered nurses,Newfoundland and Labrador,Renewal,Age <35,"1,352","1,443","1,433","1,452","1,399","1,413","1,444","1,449","1,470","1,216",,
Registered nurses,Newfoundland and Labrador,Renewal,Age 35–54,"3,279","3,420","3,224","3,138","3,096","3,022","2,970","2,961","2,943","2,828",,
Registered nurses,Newfoundland and Labrador,Renewal,Age 55+,925,956,929,902,910,962,"1,046","1,086","1,104","1,164",,
Registered nurses,Newfoundland and Labrador,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Newfoundland and Labrador,Employment status,Employed in profession,"5,936","5,901","5,855","5,737","5,674","5,725","5,834","5,829","5,932","6,208",,
Registered nurses,Newfoundland and Labrador,Employment status,Employed in other than profession and seeking employment in profession,3,16,9,13,13,14,17,8,69,27,,
Registered nurses,Newfoundland and Labrador,Employment status,Employed in other than profession and not seeking employment in profession,5,5,7,3,13,9,8,10,9,16,,
Registered nurses,Newfoundland and Labrador,Employment status,Not employed and seeking employment in profession,54,71,55,69,51,56,60,67,68,55,,
Registered nurses,Newfoundland and Labrador,Employment status,Not employed and not seeking employment in profession,10,18,16,18,11,28,25,13,11,9,,
Registered nurses,Newfoundland and Labrador,Employment status,Not stated,0,12,27,29,9,3,0,0,13,0,,
Registered nurses,Newfoundland and Labrador,Location of graduation,Canadian educated,"5,924","5,942","5,893","5,798","5,702","5,753","5,858","5,836","5,872","5,892",,
Registered nurses,Newfoundland and Labrador,Location of graduation,Internationally educated,84,80,76,71,69,82,86,91,230,423,,
Registered nurses,Newfoundland and Labrador,Location of graduation,Not stated,0,1,0,0,0,0,0,0,0,0,,
Registered nurses,Newfoundland and Labrador,Years since graduation,<5 years,984,979,949,931,896,918,955,947,986,986,,
Registered nurses,Newfoundland and Labrador,Years since graduation,5–10 years,932,974,"1,017","1,000",991,"1,040","1,018","1,009",984,990,,
Registered nurses,Newfoundland and Labrador,Years since graduation,11–20 years,"1,362","1,379","1,327","1,352","1,323","1,432","1,498","1,550","1,697","1,853",,
Registered nurses,Newfoundland and Labrador,Years since graduation,21–30 years,"1,563","1,517","1,519","1,502","1,516","1,393","1,332","1,288","1,259","1,290",,
Registered nurses,Newfoundland and Labrador,Years since graduation,31+ years,"1,167","1,174","1,157","1,084","1,045","1,052","1,141","1,133","1,175","1,196",,
Registered nurses,Newfoundland and Labrador,Years since graduation,Not stated,0,0,0,0,0,0,0,0,1,0,,
Registered nurses,Prince Edward Island,Supply,Total,"1,586","1,611","1,628","1,666","1,704","1,707","1,744","1,837","1,910","1,922",,
Registered nurses,Prince Edward Island,Age,Age <25,40,41,40,53,65,57,60,79,59,49,,
Registered nurses,Prince Edward Island,Age,Age 25–34,329,357,393,415,440,449,489,516,554,554,,
Registered nurses,Prince Edward Island,Age,Age 35–44,289,303,311,325,339,373,393,444,498,537,,
Registered nurses,Prince Edward Island,Age,Age 45–54,457,435,398,383,372,362,340,337,333,321,,
Registered nurses,Prince Edward Island,Age,Age 55–64,363,357,373,370,373,356,354,359,363,354,,
Registered nurses,Prince Edward Island,Age,Age 65+,108,118,113,120,114,110,108,102,103,107,,
Registered nurses,Prince Edward Island,Age,Not stated,0,0,0,0,1,0,0,0,0,0,,
Registered nurses,Prince Edward Island,Age,Average age,46.4,46,45.5,45.2,44.7,44.4,43.9,43.3,43.1,43,,
Registered nurses,Prince Edward Island,Sex,Female,"1,529","1,551","1,563","1,591","1,625","1,622","1,651","1,733","1,789","1,697",,
Registered nurses,Prince Edward Island,Sex,Male,57,60,65,75,79,85,93,104,121,106,,
Registered nurses,Prince Edward Island,Sex,Not stated,0,0,0,0,0,0,0,0,0,119,,
Registered nurses,Prince Edward Island,Inflow,Total,97,150,148,166,152,116,157,191,198,206,,
Registered nurses,Prince Edward Island,Inflow,Age <35,72,97,107,114,113,81,117,133,104,120,,
Registered nurses,Prince Edward Island,Inflow,Age 35–54,16,38,25,38,28,25,33,44,77,77,,
Registered nurses,Prince Edward Island,Inflow,Age 55+,9,15,16,14,10,10,7,14,17,9,,
Registered nurses,Prince Edward Island,Inflow,Age not stated,0,0,0,0,1,0,0,0,0,0,,
Registered nurses,Prince Edward Island,Outflow,Total,125,131,128,114,113,120,98,125,194,,,
Registered nurses,Prince Edward Island,Outflow,Age <35,40,46,50,38,31,40,27,43,69,,,
Registered nurses,Prince Edward Island,Outflow,Age 35–54,26,24,24,19,16,27,22,28,71,,,
Registered nurses,Prince Edward Island,Outflow,Age 55+,59,61,54,57,65,53,49,54,54,,,
Registered nurses,Prince Edward Island,Outflow,Age not stated,0,0,0,0,1,0,0,0,0,,,
Registered nurses,Prince Edward Island,Renewal,Total,"1,489","1,461","1,480","1,500","1,552","1,591","1,587","1,646","1,712","1,716",,
Registered nurses,Prince Edward Island,Renewal,Age <35,297,301,326,354,392,425,432,462,509,483,,
Registered nurses,Prince Edward Island,Renewal,Age 35–54,730,700,684,670,683,710,700,737,754,781,,
Registered nurses,Prince Edward Island,Renewal,Age 55+,462,460,470,476,477,456,455,447,449,452,,
Registered nurses,Prince Edward Island,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Prince Edward Island,Employment status,Employed in profession,"1,523","1,517","1,547","1,560","1,612","1,610",,,"1,869","1,803",,
Registered nurses,Prince Edward Island,Employment status,Employed in other than profession and seeking employment in profession,0,0,0,2,1,1,,,0,2,,
Registered nurses,Prince Edward Island,Employment status,Employed in other than profession and not seeking employment in profession,0,2,2,2,1,2,,,0,3,,
Registered nurses,Prince Edward Island,Employment status,Not employed and seeking employment in profession,0,5,0,7,6,2,,,0,6,,
Registered nurses,Prince Edward Island,Employment status,Not employed and not seeking employment in profession,20,31,16,24,27,29,,,3,6,,
Registered nurses,Prince Edward Island,Employment status,Not stated,43,56,63,71,57,63,,,38,102,,
Registered nurses,Prince Edward Island,Location of graduation,Canadian educated,"1,547","1,551","1,552","1,579","1,623","1,643","1,665","1,739","1,788","1,740",,
Registered nurses,Prince Edward Island,Location of graduation,Internationally educated,39,41,40,40,49,64,79,98,122,167,,
Registered nurses,Prince Edward Island,Location of graduation,Not stated,0,19,36,47,32,0,0,0,0,15,,
Registered nurses,Prince Edward Island,Years since graduation,<5 years,206,198,216,245,259,262,276,308,303,313,,
Registered nurses,Prince Edward Island,Years since graduation,5–10 years,273,300,303,303,327,329,336,358,377,359,,
Registered nurses,Prince Edward Island,Years since graduation,11–20 years,210,249,278,308,339,373,416,475,556,576,,
Registered nurses,Prince Edward Island,Years since graduation,21–30 years,390,377,350,337,304,282,267,241,228,222,,
Registered nurses,Prince Edward Island,Years since graduation,31+ years,507,487,481,473,474,461,449,455,446,442,,
Registered nurses,Prince Edward Island,Years since graduation,Not stated,0,0,0,0,1,0,0,0,0,10,,
Registered nurses,Nova Scotia,Supply,Total,"9,524","9,489","9,498","9,442","9,508","9,783","10,218","10,334","10,633","11,574",,
Registered nurses,Nova Scotia,Age,Age <25,326,324,303,319,339,432,449,458,466,462,,
Registered nurses,Nova Scotia,Age,Age 25–34,"1,848","2,018","2,204","2,351","2,520","2,733","2,950","3,013","3,171","3,467",,
Registered nurses,Nova Scotia,Age,Age 35–44,"1,738","1,687","1,714","1,736","1,764","1,904","2,043","2,288","2,590","3,254",,
Registered nurses,Nova Scotia,Age,Age 45–54,"2,713","2,606","2,435","2,240","2,125","2,004","1,933","1,861","1,814","1,843",,
Registered nurses,Nova Scotia,Age,Age 55–64,"2,446","2,378","2,337","2,310","2,256","2,184","2,229","2,149","2,027","1,950",,
Registered nurses,Nova Scotia,Age,Age 65+,453,476,505,486,504,526,614,565,565,598,,
Registered nurses,Nova Scotia,Age,Not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Nova Scotia,Age,Average age,46.4,46,45.6,45.1,44.6,43.8,43.7,43.3,42.8,42.3,,
Registered nurses,Nova Scotia,Sex,Female,"9,028","8,955","8,932","8,865","8,903","9,117","9,484","9,540","9,713","10,420",,
Registered nurses,Nova Scotia,Sex,Male,496,534,566,576,605,666,734,786,894,"1,107",,
Registered nurses,Nova Scotia,Sex,Not stated,0,0,0,1,0,0,0,8,26,47,,
Registered nurses,Nova Scotia,Inflow,Total,715,724,783,792,858,"1,059","1,153","1,064","1,299","1,951",,
Registered nurses,Nova Scotia,Inflow,Age <35,500,526,558,553,615,782,692,668,813,"1,011",,
Registered nurses,Nova Scotia,Inflow,Age 35–54,170,159,175,190,195,227,249,307,407,860,,
Registered nurses,Nova Scotia,Inflow,Age 55+,45,39,50,49,48,50,212,89,79,80,,
Registered nurses,Nova Scotia,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Nova Scotia,Outflow,Total,759,774,848,792,784,718,948,"1,000","1,010",,,
Registered nurses,Nova Scotia,Outflow,Age <35,221,230,225,246,270,252,346,386,419,,,
Registered nurses,Nova Scotia,Outflow,Age 35–54,167,177,193,193,138,142,161,222,285,,,
Registered nurses,Nova Scotia,Outflow,Age 55+,371,367,430,353,376,324,441,392,306,,,
Registered nurses,Nova Scotia,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,,,
Registered nurses,Nova Scotia,Renewal,Total,"8,809","8,765","8,715","8,650","8,650","8,724","9,065","9,270","9,334","9,623",,
Registered nurses,Nova Scotia,Renewal,Age <35,"1,674","1,816","1,949","2,117","2,244","2,383","2,707","2,803","2,824","2,918",,
Registered nurses,Nova Scotia,Renewal,Age 35–54,"4,281","4,134","3,974","3,786","3,694","3,681","3,727","3,842","3,997","4,237",,
Registered nurses,Nova Scotia,Renewal,Age 55+,"2,854","2,815","2,792","2,747","2,712","2,660","2,631","2,625","2,513","2,468",,
Registered nurses,Nova Scotia,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Nova Scotia,Employment status,Employed in profession,"9,153","9,111","9,073","8,997","9,061","9,310","9,543","9,727","9,939","10,801",,
Registered nurses,Nova Scotia,Employment status,Employed in other than profession and seeking employment in profession,4,18,29,13,8,3,5,2,4,168,,
Registered nurses,Nova Scotia,Employment status,Employed in other than profession and not seeking employment in profession,0,3,2,0,0,0,1,0,1,31,,
Registered nurses,Nova Scotia,Employment status,Not employed and seeking employment in profession,5,1,5,11,16,15,26,19,684,314,,
Registered nurses,Nova Scotia,Employment status,Not employed and not seeking employment in profession,1,0,0,0,0,1,0,0,5,171,,
Registered nurses,Nova Scotia,Employment status,Not stated,361,356,389,421,423,454,643,586,0,89,,
Registered nurses,Nova Scotia,Location of graduation,Canadian educated,"9,186","9,155","9,154","9,083","9,106","9,317","9,672","9,627","9,710","9,709",,
Registered nurses,Nova Scotia,Location of graduation,Internationally educated,338,334,344,359,402,466,545,705,901,"1,836",,
Registered nurses,Nova Scotia,Location of graduation,Not stated,0,0,0,0,0,0,1,2,22,29,,
Registered nurses,Nova Scotia,Years since graduation,<5 years,"1,338","1,421","1,532","1,536","1,595","1,807","1,862","1,849","1,836","1,619",,
Registered nurses,Nova Scotia,Years since graduation,5–10 years,"1,431","1,477","1,538","1,677","1,787","1,876","2,001","2,112","2,304","2,656",,
Registered nurses,Nova Scotia,Years since graduation,11–20 years,"1,291","1,286","1,397","1,556","1,701","1,899","2,153","2,416","2,728","3,557",,
Registered nurses,Nova Scotia,Years since graduation,21–30 years,"2,336","2,209","1,989","1,751","1,624","1,524","1,470","1,348","1,283","1,294",,
Registered nurses,Nova Scotia,Years since graduation,31+ years,"3,128","3,096","3,042","2,922","2,801","2,677","2,731","2,609","2,467","2,413",,
Registered nurses,Nova Scotia,Years since graduation,Not stated,0,0,0,0,0,0,1,0,15,35,,
Registered nurses,New Brunswick,Supply,Total,"8,240","8,033","8,045","8,037","8,019","7,974","8,045","8,019","7,976","8,275",,
Registered nurses,New Brunswick,Age,Age <25,247,190,187,210,192,159,172,165,199,253,,
Registered nurses,New Brunswick,Age,Age 25–34,"1,759","1,703","1,709","1,743","1,809","1,807","1,764","1,761","1,819","1,916",,
Registered nurses,New Brunswick,Age,Age 35–44,"1,730","1,721","1,807","1,787","1,776","1,814","1,885","1,972","2,090","2,370",,
Registered nurses,New Brunswick,Age,Age 45–54,"2,513","2,424","2,342","2,282","2,189","2,041","1,981","1,863","1,809","1,741",,
Registered nurses,New Brunswick,Age,Age 55–64,"1,717","1,708","1,703","1,706","1,715","1,784","1,786","1,783","1,680","1,649",,
Registered nurses,New Brunswick,Age,Age 65+,274,287,297,309,338,369,457,475,379,346,,
Registered nurses,New Brunswick,Age,Not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,New Brunswick,Age,Average age,45,45.2,45.1,45,45,45.2,45.4,45.4,44.6,43.9,,
Registered nurses,New Brunswick,Sex,Female,"7,796","7,592","7,594","7,582","7,554","7,495","7,558","7,529","7,399","7,588",,
Registered nurses,New Brunswick,Sex,Male,444,441,451,455,465,479,487,490,521,573,,
Registered nurses,New Brunswick,Sex,Not stated,0,0,0,0,0,0,0,0,56,114,,
Registered nurses,New Brunswick,Inflow,Total,515,370,539,528,536,525,697,651,821,"1,068",,
Registered nurses,New Brunswick,Inflow,Age <35,373,243,356,383,389,334,368,405,490,581,,
Registered nurses,New Brunswick,Inflow,Age 35–54,119,99,135,105,110,118,170,174,276,426,,
Registered nurses,New Brunswick,Inflow,Age 55+,23,28,48,40,37,73,159,72,55,61,,
Registered nurses,New Brunswick,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,New Brunswick,Outflow,Total,577,527,536,554,570,626,677,864,769,,,
Registered nurses,New Brunswick,Outflow,Age <35,170,141,165,167,208,215,228,218,237,,,
Registered nurses,New Brunswick,Outflow,Age 35–54,127,122,112,123,127,104,159,193,204,,,
Registered nurses,New Brunswick,Outflow,Age 55+,280,264,259,264,235,307,290,453,328,,,
Registered nurses,New Brunswick,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,,,
Registered nurses,New Brunswick,Renewal,Total,"7,725","7,663","7,506","7,509","7,483","7,449","7,348","7,368","7,155","7,207",,
Registered nurses,New Brunswick,Renewal,Age <35,"1,633","1,650","1,540","1,570","1,612","1,632","1,568","1,521","1,528","1,588",,
Registered nurses,New Brunswick,Renewal,Age 35–54,"4,124","4,046","4,014","3,964","3,855","3,737","3,696","3,661","3,623","3,685",,
Registered nurses,New Brunswick,Renewal,Age 55+,"1,968","1,967","1,952","1,975","2,016","2,080","2,084","2,186","2,004","1,934",,
Registered nurses,New Brunswick,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,New Brunswick,Employment status,Employed in profession,"7,855","7,716","7,759","7,713","7,749","7,695","7,535","7,422","7,490","7,511",,
Registered nurses,New Brunswick,Employment status,Employed in other than profession and seeking employment in profession,6,3,3,6,4,4,4,12,0,0,,
Registered nurses,New Brunswick,Employment status,Employed in other than profession and not seeking employment in profession,4,1,0,0,0,0,0,0,0,0,,
Registered nurses,New Brunswick,Employment status,Not employed and seeking employment in profession,22,29,24,25,16,23,7,35,0,0,,
Registered nurses,New Brunswick,Employment status,Not employed and not seeking employment in profession,189,138,139,148,69,73,47,53,52,21,,
Registered nurses,New Brunswick,Employment status,Not stated,164,146,120,145,181,179,452,497,434,743,,
Registered nurses,New Brunswick,Location of graduation,Canadian educated,"8,093","7,893","7,909","7,901","7,889","7,841","7,894","7,792","7,593","7,599",,
Registered nurses,New Brunswick,Location of graduation,Internationally educated,147,140,136,136,130,133,151,227,318,638,,
Registered nurses,New Brunswick,Location of graduation,Not stated,0,0,0,0,0,0,0,0,65,38,,
Registered nurses,New Brunswick,Years since graduation,<5 years,994,871,902,921,937,866,824,773,856,"1,025",,
Registered nurses,New Brunswick,Years since graduation,5–10 years,"1,336","1,347","1,355","1,382","1,385","1,378","1,350","1,374","1,376","1,264",,
Registered nurses,New Brunswick,Years since graduation,11–20 years,"1,562","1,535","1,538","1,639","1,767","1,892","2,065","2,206","2,360","2,453",,
Registered nurses,New Brunswick,Years since graduation,21–30 years,"2,259","2,229","2,201","2,016","1,825","1,678","1,568","1,431","1,384","1,352",,
Registered nurses,New Brunswick,Years since graduation,31+ years,"2,089","2,051","2,049","2,079","2,105","2,160","2,238","2,235","2,000","1,914",,
Registered nurses,New Brunswick,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,267,,
Registered nurses,Quebec,Supply,Total,"70,042","70,600","70,629","71,479","72,695","73,337","76,712","77,261","78,255","80,077",,
Registered nurses,Quebec,Age,Age <25,"3,937","4,033","3,948","3,868","3,812","3,306","3,541","3,453","3,316","3,582",,
Registered nurses,Quebec,Age,Age 25–34,"17,578","17,803","18,322","18,753","19,164","19,469","20,159","20,322","20,517","20,627",,
Registered nurses,Quebec,Age,Age 35–44,"17,497","18,239","18,881","19,631","20,456","20,866","21,598","21,847","22,141","22,871",,
Registered nurses,Quebec,Age,Age 45–54,"17,759","17,498","17,301","17,181","17,143","17,469","17,962","18,241","18,544","19,047",,
Registered nurses,Quebec,Age,Age 55–64,"11,383","11,154","10,426","10,327","10,293","10,295","10,791","10,736","11,041","11,196",,
Registered nurses,Quebec,Age,Age 65+,"1,888","1,873","1,751","1,719","1,827","1,932","2,661","2,662","2,696","2,754",,
Registered nurses,Quebec,Age,Not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Quebec,Age,Average age,42.5,42.3,41.9,41.8,41.7,41.9,42.1,42.1,42.3,42.3,,
Registered nurses,Quebec,Sex,Female,"62,425","62,839","62,755","63,396","64,369","64,838","67,723","68,151","68,989","70,427",,
Registered nurses,Quebec,Sex,Male,"7,617","7,761","7,874","8,083","8,326","8,499","8,989","9,110","9,266","9,650",,
Registered nurses,Quebec,Sex,Not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Quebec,Inflow,Total,"4,895","4,971","4,848","5,011","5,173","4,894","7,438","5,269","5,578","6,071",,
Registered nurses,Quebec,Inflow,Age <35,"3,646","3,452","3,556","3,476","3,635","2,949","4,152","3,339","3,134","3,710",,
Registered nurses,Quebec,Inflow,Age 35–54,"1,044","1,152","1,151","1,339","1,324","1,454","2,002","1,490","1,495","2,079",,
Registered nurses,Quebec,Inflow,Age 55+,205,367,141,196,214,491,"1,284",440,949,282,,
Registered nurses,Quebec,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Quebec,Outflow,Total,"4,413","4,819","4,161","3,957","4,252","4,063","4,720","4,584","4,249",,,
Registered nurses,Quebec,Outflow,Age <35,"1,233","1,229","1,229","1,256","1,256","1,392","1,436","1,252","1,321",,,
Registered nurses,Quebec,Outflow,Age 35–54,844,927,895,829,"1,007",952,"1,172","1,115","1,215",,,
Registered nurses,Quebec,Outflow,Age 55+,"2,336","2,663","2,037","1,872","1,989","1,719","2,112","2,217","1,713",,,
Registered nurses,Quebec,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,,,
Registered nurses,Quebec,Renewal,Total,"65,147","65,629","65,781","66,468","67,522","68,443","69,274","71,992","72,677","74,006",,
Registered nurses,Quebec,Renewal,Age <35,"17,869","18,384","18,714","19,145","19,341","19,826","19,548","20,436","20,699","20,499",,
Registered nurses,Quebec,Renewal,Age 35–54,"34,212","34,585","35,031","35,473","36,275","36,881","37,558","38,598","39,190","39,839",,
Registered nurses,Quebec,Renewal,Age 55+,"13,066","12,660","12,036","11,850","11,906","11,736","12,168","12,958","12,788","13,668",,
Registered nurses,Quebec,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Quebec,Employment status,Employed in profession,"68,435","68,164","68,498","69,526","70,217","70,539","73,062","73,818","75,735","77,262",,
Registered nurses,Quebec,Employment status,Employed in other than profession and seeking employment in profession,,,,,,,,,,,,
Registered nurses,Quebec,Employment status,Employed in other than profession and not seeking employment in profession,,,,,,,,,,,,
Registered nurses,Quebec,Employment status,Not employed and seeking employment in profession,,,,,,,,,,,,
Registered nurses,Quebec,Employment status,Not employed and not seeking employment in profession,,,,,,,,,,,,
Registered nurses,Quebec,Employment status,Not stated,"1,607","2,436","2,131","1,953","2,478","2,798","3,650","3,443","2,520","2,815",,
Registered nurses,Quebec,Location of graduation,Canadian educated,"66,866","67,221","67,058","67,425","68,186","68,273","70,937","70,910","71,254","71,913",,
Registered nurses,Quebec,Location of graduation,Internationally educated,"3,176","3,379","3,571","4,054","4,509","5,064","5,775","6,351","7,001","8,164",,
Registered nurses,Quebec,Location of graduation,Not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Quebec,Years since graduation,<5 years,"11,467","11,812","12,207","12,110","12,144","11,526","11,659","11,792","11,076","11,399",,
Registered nurses,Quebec,Years since graduation,5–10 years,"13,796","13,864","13,668","14,034","14,672","15,293","16,631","16,477","17,036","16,989",,
Registered nurses,Quebec,Years since graduation,11–20 years,"16,729","17,505","18,443","19,259","19,991","21,002","22,383","23,391","23,917","24,634",,
Registered nurses,Quebec,Years since graduation,21–30 years,"14,673","14,558","14,444","14,572","14,505","13,932","13,352","13,183","13,826","14,904",,
Registered nurses,Quebec,Years since graduation,31+ years,"13,377","12,861","11,867","11,504","11,383","11,583","12,687","12,417","12,398","12,150",,
Registered nurses,Quebec,Years since graduation,Not stated,0,0,0,0,0,1,0,1,2,1,,
Registered nurses,Ontario,Supply,Total,"102,490","102,006","101,912","102,396","103,877","104,976","106,595","108,040","110,510","115,406",,
Registered nurses,Ontario,Age,Age <25,"2,600","2,341","2,365","2,628","2,924","3,038","3,095","2,963","2,924","3,076",,
Registered nurses,Ontario,Age,Age 25–34,"21,116","21,816","22,673","23,830","25,484","26,704","28,107","29,036","30,264","32,179",,
Registered nurses,Ontario,Age,Age 35–44,"20,984","20,729","20,598","20,806","21,276","22,067","23,204","24,623","26,968","30,172",,
Registered nurses,Ontario,Age,Age 45–54,"27,002","26,608","26,060","25,293","24,342","23,811","23,372","22,991","22,471","22,421",,
Registered nurses,Ontario,Age,Age 55–64,"24,182","23,695","23,218","22,831","22,744","22,284","21,886","21,491","21,038","20,683",,
Registered nurses,Ontario,Age,Age 65+,"6,605","6,816","6,998","7,008","7,107","7,072","6,931","6,936","6,845","6,875",,
Registered nurses,Ontario,Age,Not stated,1,1,0,0,0,0,0,0,0,0,,
Registered nurses,Ontario,Age,Average age,46.3,46.2,46,45.6,45.2,44.9,44.5,44.3,43.9,43.5,,
Registered nurses,Ontario,Sex,Female,"96,079","95,336","94,958","95,043","96,000","96,642","97,807","98,770","100,608","104,438",,
Registered nurses,Ontario,Sex,Male,"6,411","6,670","6,954","7,353","7,876","8,330","8,771","9,234","9,843","10,579",,
Registered nurses,Ontario,Sex,Not stated,0,0,0,0,1,4,17,36,59,389,,
Registered nurses,Ontario,Inflow,Total,"4,985","4,214","4,783","5,481","6,275","6,062","6,566","6,657","8,179","10,582",,
Registered nurses,Ontario,Inflow,Age <35,"3,924","3,282","3,797","4,331","5,002","4,740","4,977","4,814","5,459","6,770",,
Registered nurses,Ontario,Inflow,Age 35–54,922,799,860,986,"1,123","1,197","1,297","1,601","2,485","3,532",,
Registered nurses,Ontario,Inflow,Age 55+,139,133,126,164,150,125,292,242,235,280,,
Registered nurses,Ontario,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,,
Registered nurses,Ontario,Outflow,Total,"4,698","4,877","4,997","4,794","4,963","4,947","5,212","5,709","5,686",,,
Registered nurses,Ontario,Outflow,Age <35,838,891,799,813,950,851,"1,230","1,411","1,504",,,
Registered nurses,Ontario,Outflow,Age 35–54,808,782,748,826,807,826,"1,030","1,176","1,262",,,
Registered nurses,Ontario,Outflow,Age 55+,"3,052","3,204","3,450","3,155","3,206","3,270","2,952","3,122","2,920",,,
Registered nurses,Ontario,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,,,
Registered nurses,Ontario,Renewal,Total,"97,505","97,792","97,129","96,915","97,602","98,914","100,029","101,383","102,331","104,824",,
Registered nurses,Ontario,Renewal,Age <35,"19,792","20,875","21,241","22,127","23,406","25,002","26,225","27,185","27,729","28,485",,
Registered nurses,Ontario,Renewal,Age 35–54,"47,064","46,538","45,798","45,113","44,495","44,681","45,279","46,013","46,954","49,061",,
Registered nurses,Ontario,Renewal,Age 55+,"30,648","30,378","30,090","29,675","29,701","29,231","28,525","28,185","27,648","27,278",,
Registered nurses,Ontario,Renewal,Age not stated,1,1,0,0,0,0,0,0,0,0,,
Registered nurses,Ontario,Employment status,Employed in profession,"95,659","95,609","94,948","95,814","97,575","97,920","98,899","99,839","101,599","106,523",,
Registered nurses,Ontario,Employment status,Employed in other than profession and seeking employment in profession,458,386,360,363,421,420,332,345,456,676,,
Registered nurses,Ontario,Employment status,Employed in other than profession and not seeking employment in profession,330,244,232,265,243,237,284,286,361,359,,
Registered nurses,Ontario,Employment status,Not employed and seeking employment in profession,"2,165","2,135","2,077","2,016","2,148","2,119","2,119","2,405","2,681","3,134",,
Registered nurses,Ontario,Employment status,Not employed and not seeking employment in profession,"1,518","1,642","1,693","1,581","1,373","1,400","1,618","1,705","1,861","1,477",,
Registered nurses,Ontario,Employment status,Not stated,"2,360","1,990","2,602","2,357","2,117","2,880","3,343","3,460","3,552","3,237",,
Registered nurses,Ontario,Location of graduation,Canadian educated,"90,545","90,104","90,160","90,846","92,027","92,824","94,020","94,652","94,756","95,493",,
Registered nurses,Ontario,Location of graduation,Internationally educated,"11,681","11,583","11,449","11,454","11,756","12,060","12,487","13,384","15,749","19,908",,
Registered nurses,Ontario,Location of graduation,Not stated,264,319,303,96,94,92,88,4,5,5,,
Registered nurses,Ontario,Years since graduation,<5 years,"13,529","13,157","12,904","13,406","14,384","15,113","16,006","16,024","15,641","15,846",,
Registered nurses,Ontario,Years since graduation,5–10 years,"14,168","15,778","17,417","18,266","19,348","20,255","20,930","21,501","22,516","24,012",,
Registered nurses,Ontario,Years since graduation,11–20 years,"21,193","20,220","19,876","20,439","21,024","21,919","23,521","25,471","28,196","31,033",,
Registered nurses,Ontario,Years since graduation,21–30 years,"24,011","23,144","23,320","22,448","21,857","21,295","20,453","19,792","19,456","20,232",,
Registered nurses,Ontario,Years since graduation,31+ years,"29,270","29,327","28,225","27,805","27,231","26,362","25,654","25,252","24,701","24,283",,
Registered nurses,Ontario,Years since graduation,Not stated,319,380,170,32,33,32,31,0,0,0,,
Registered nurses,Manitoba,Supply,Total,"12,634","12,707","13,126","13,172","12,995","12,856","13,149","13,283","13,460","13,895",,
Registered nurses,Manitoba,Age,Age <25,188,169,301,345,288,291,317,326,120,335,,
Registered nurses,Manitoba,Age,Age 25–34,"2,957","3,064","3,278","3,356","3,376","3,327","3,371","3,419","3,212","3,499",,
